"Jour","Produit","Prix TVA incl."
"12APR21","Diesel B7 (€/L)",1.485
"12APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.578
"12APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.608
"13APR21","Essence 95 RON E10 (€/L)",1.483
"13APR21","Essence 98 RON E5 (€/L)",1.553
"13APR21","Diesel B7 (€/L)",1.485
"13APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.58
"13APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.61
"14APR21","Essence 95 RON E10 (€/L)",1.483
"14APR21","Essence 98 RON E5 (€/L)",1.553
"14APR21","Diesel B7 (€/L)",1.485
"14APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.584
"14APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.613
"15APR21","Essence 95 RON E10 (€/L)",1.483
"15APR21","Essence 98 RON E5 (€/L)",1.553
"15APR21","Diesel B7 (€/L)",1.485
"15APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.583
"15APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.613
"16APR21","Essence 95 RON E10 (€/L)",1.483
"16APR21","Essence 98 RON E5 (€/L)",1.553
"16APR21","Diesel B7 (€/L)",1.485
"16APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.597
"16APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.626
"17APR21","Essence 95 RON E10 (€/L)",1.483
"17APR21","Essence 98 RON E5 (€/L)",1.553
"17APR21","Diesel B7 (€/L)",1.485
"17APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.598
"17APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.627
"18APR21","Essence 95 RON E10 (€/L)",1.483
"18APR21","Essence 98 RON E5 (€/L)",1.553
"18APR21","Diesel B7 (€/L)",1.485
"18APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.598
"18APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.627
"19APR21","Essence 95 RON E10 (€/L)",1.483
"19APR21","Essence 98 RON E5 (€/L)",1.553
"19APR21","Diesel B7 (€/L)",1.485
"19APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.598
"19APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.627
"20APR21","Essence 95 RON E10 (€/L)",1.483
"20APR21","Essence 98 RON E5 (€/L)",1.553
"20APR21","Diesel B7 (€/L)",1.485
"20APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.599
"20APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.628
"21APR21","Essence 95 RON E10 (€/L)",1.503
"21APR21","Essence 98 RON E5 (€/L)",1.576
"21APR21","Diesel B7 (€/L)",1.485
"21APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.595
"21APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.624
"22APR21","Essence 95 RON E10 (€/L)",1.503
"22APR21","Essence 98 RON E5 (€/L)",1.576
"22APR21","Diesel B7 (€/L)",1.485
"22APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.586
"22APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.616
"23APR21","Essence 95 RON E10 (€/L)",1.503
"23APR21","Essence 98 RON E5 (€/L)",1.576
"23APR21","Diesel B7 (€/L)",1.492
"23APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.589
"23APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.618
"24APR21","Essence 95 RON E10 (€/L)",1.503
"24APR21","Essence 98 RON E5 (€/L)",1.576
"24APR21","Diesel B7 (€/L)",1.492
"24APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.589
"24APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.619
"25APR21","Essence 95 RON E10 (€/L)",1.503
"25APR21","Essence 98 RON E5 (€/L)",1.576
"25APR21","Diesel B7 (€/L)",1.492
"25APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.589
"25APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.619
"26APR21","Essence 95 RON E10 (€/L)",1.503
"26APR21","Essence 98 RON E5 (€/L)",1.576
"26APR21","Diesel B7 (€/L)",1.492
"26APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.589
"26APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.619
"27APR21","Essence 95 RON E10 (€/L)",1.503
"27APR21","Essence 98 RON E5 (€/L)",1.576
"27APR21","Diesel B7 (€/L)",1.492
"27APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.591
"27APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.621
"28APR21","Essence 95 RON E10 (€/L)",1.503
"28APR21","Essence 98 RON E5 (€/L)",1.576
"28APR21","Diesel B7 (€/L)",1.492
"28APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.589
"28APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.619
"29APR21","Essence 95 RON E10 (€/L)",1.503
"29APR21","Essence 98 RON E5 (€/L)",1.576
"29APR21","Diesel B7 (€/L)",1.492
"29APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.592
"29APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.621
"30APR21","Essence 95 RON E10 (€/L)",1.503
"30APR21","Essence 98 RON E5 (€/L)",1.576
"30APR21","Diesel B7 (€/L)",1.492
"30APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.605
"30APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.634
"01MAY21","Essence 95 RON E10 (€/L)",1.503
"01MAY21","Essence 98 RON E5 (€/L)",1.576
"01MAY21","Diesel B7 (€/L)",1.492
"01MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.607
"01MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"02MAY21","Essence 95 RON E10 (€/L)",1.503
"02MAY21","Essence 98 RON E5 (€/L)",1.576
"02MAY21","Diesel B7 (€/L)",1.492
"02MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.607
"02MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"03MAY21","Essence 95 RON E10 (€/L)",1.503
"03MAY21","Essence 98 RON E5 (€/L)",1.576
"03MAY21","Diesel B7 (€/L)",1.492
"03MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.607
"03MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"04MAY21","Essence 95 RON E10 (€/L)",1.503
"04MAY21","Essence 98 RON E5 (€/L)",1.576
"04MAY21","Diesel B7 (€/L)",1.508
"04MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.6
"04MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.63
"05MAY21","Essence 95 RON E10 (€/L)",1.503
"05MAY21","Essence 98 RON E5 (€/L)",1.576
"05MAY21","Diesel B7 (€/L)",1.508
"05MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.602
"05MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.631
"06MAY21","Essence 95 RON E10 (€/L)",1.503
"06MAY21","Essence 98 RON E5 (€/L)",1.576
"06MAY21","Diesel B7 (€/L)",1.508
"06MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.618
