"Jour","Produit","Prix TVA incl."
"29OCT22","Essence 98 RON E5 (€/L)",2.13
"29OCT22","Diesel B7 (€/L)",2.163
"29OCT22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.437
"29OCT22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.472
"30OCT22","Essence 95 RON E10 (€/L)",1.888
"30OCT22","Essence 98 RON E5 (€/L)",2.13
"30OCT22","Diesel B7 (€/L)",2.163
"30OCT22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.437
"30OCT22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.472
"31OCT22","Essence 95 RON E10 (€/L)",1.888
"31OCT22","Essence 98 RON E5 (€/L)",2.13
"31OCT22","Diesel B7 (€/L)",2.163
"31OCT22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.437
"31OCT22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.472
"01NOV22","Essence 95 RON E10 (€/L)",1.911
"01NOV22","Essence 98 RON E5 (€/L)",2.124
"01NOV22","Diesel B7 (€/L)",2.194
"01NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.459
"01NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.494
"02NOV22","Essence 95 RON E10 (€/L)",1.911
"02NOV22","Essence 98 RON E5 (€/L)",2.124
"02NOV22","Diesel B7 (€/L)",2.194
"02NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.459
"02NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.494
"03NOV22","Essence 95 RON E10 (€/L)",1.911
"03NOV22","Essence 98 RON E5 (€/L)",2.124
"03NOV22","Diesel B7 (€/L)",2.194
"03NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.459
"03NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.494
"04NOV22","Essence 95 RON E10 (€/L)",1.911
"04NOV22","Essence 98 RON E5 (€/L)",2.124
"04NOV22","Diesel B7 (€/L)",2.02
"04NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.277
"04NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.313
"05NOV22","Essence 95 RON E10 (€/L)",1.911
"05NOV22","Essence 98 RON E5 (€/L)",2.124
"05NOV22","Diesel B7 (€/L)",2.091
"05NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.35
"05NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.386
"06NOV22","Essence 95 RON E10 (€/L)",1.911
"06NOV22","Essence 98 RON E5 (€/L)",2.124
"06NOV22","Diesel B7 (€/L)",2.091
"06NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.35
"06NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.386
"07NOV22","Essence 95 RON E10 (€/L)",1.911
"07NOV22","Essence 98 RON E5 (€/L)",2.124
"07NOV22","Diesel B7 (€/L)",2.091
"07NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.35
"07NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.386
"08NOV22","Essence 95 RON E10 (€/L)",1.993
"08NOV22","Essence 98 RON E5 (€/L)",2.215
"08NOV22","Diesel B7 (€/L)",2.091
"08NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.344
"08NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.379
"09NOV22","Essence 95 RON E10 (€/L)",1.993
"09NOV22","Essence 98 RON E5 (€/L)",2.215
"09NOV22","Diesel B7 (€/L)",2.091
"09NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.307
"09NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.343
"10NOV22","Essence 95 RON E10 (€/L)",1.955
"10NOV22","Essence 98 RON E5 (€/L)",2.182
"10NOV22","Diesel B7 (€/L)",2.016
"10NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.277
"10NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.313
"11NOV22","Essence 95 RON E10 (€/L)",1.955
"11NOV22","Essence 98 RON E5 (€/L)",2.182
"11NOV22","Diesel B7 (€/L)",2.016
"11NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.233
"11NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.269
"12NOV22","Essence 95 RON E10 (€/L)",1.955
"12NOV22","Essence 98 RON E5 (€/L)",2.182
"12NOV22","Diesel B7 (€/L)",2.016
"12NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.233
"12NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.269
"13NOV22","Essence 95 RON E10 (€/L)",1.955
"13NOV22","Essence 98 RON E5 (€/L)",2.182
"13NOV22","Diesel B7 (€/L)",2.016
"13NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.233
"13NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.269
"14NOV22","Essence 95 RON E10 (€/L)",1.955
"14NOV22","Essence 98 RON E5 (€/L)",2.182
"14NOV22","Diesel B7 (€/L)",2.016
"14NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.233
"14NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.269
"15NOV22","Essence 95 RON E10 (€/L)",1.955
"15NOV22","Essence 98 RON E5 (€/L)",2.182
"15NOV22","Diesel B7 (€/L)",2.016
"15NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.185
"15NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.221
"16NOV22","Essence 95 RON E10 (€/L)",1.955
"16NOV22","Essence 98 RON E5 (€/L)",2.182
"16NOV22","Diesel B7 (€/L)",2.016
"16NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.185
"16NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.221
"17NOV22","Essence 95 RON E10 (€/L)",1.872
"17NOV22","Essence 98 RON E5 (€/L)",2.086
"17NOV22","Diesel B7 (€/L)",1.929
"17NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.179
"17NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.215
"18NOV22","Essence 95 RON E10 (€/L)",1.872
"18NOV22","Essence 98 RON E5 (€/L)",2.086
"18NOV22","Diesel B7 (€/L)",1.929
"18NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.18
"18NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.215
"19NOV22","Essence 95 RON E10 (€/L)",1.872
"19NOV22","Essence 98 RON E5 (€/L)",2.086
"19NOV22","Diesel B7 (€/L)",1.929
"19NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.16
"19NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.195
"20NOV22","Essence 95 RON E10 (€/L)",1.872
"20NOV22","Essence 98 RON E5 (€/L)",2.086
"20NOV22","Diesel B7 (€/L)",1.929
"20NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.16
"20NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.195
"21NOV22","Essence 95 RON E10 (€/L)",1.872
"21NOV22","Essence 98 RON E5 (€/L)",2.086
"21NOV22","Diesel B7 (€/L)",1.929
"21NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.16
"21NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.195
"22NOV22","Essence 95 RON E10 (€/L)",1.811
"22NOV22","Essence 98 RON E5 (€/L)",2.015
"22NOV22","Diesel B7 (€/L)",1.929
"22NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.144
"22NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.179
"23NOV22","Essence 95 RON E10 (€/L)",1.811
"23NOV22","Essence 98 RON E5 (€/L)",2.015
"23NOV22","Diesel B7 (€/L)",1.853
"23NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.111
"23NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.146
"24NOV22","Essence 95 RON E10 (€/L)",1.811
"24NOV22","Essence 98 RON E5 (€/L)",2.015
"24NOV22","Diesel B7 (€/L)",1.853
"24NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.14
"24NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.175
"25NOV22","Essence 95 RON E10 (€/L)",1.811
"25NOV22","Essence 98 RON E5 (€/L)",2.015
"25NOV22","Diesel B7 (€/L)",1.853
"25NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.118
"25NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.153
"26NOV22","Essence 95 RON E10 (€/L)",1.811
"26NOV22","Essence 98 RON E5 (€/L)",2.015
"26NOV22","Diesel B7 (€/L)",1.853
"26NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.105
"26NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.141
"27NOV22","Essence 95 RON E10 (€/L)",1.811
"27NOV22","Essence 98 RON E5 (€/L)",2.015
"27NOV22","Diesel B7 (€/L)",1.853
"27NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.105
"27NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.141
"28NOV22","Essence 95 RON E10 (€/L)",1.811
"28NOV22","Essence 98 RON E5 (€/L)",2.015
"28NOV22","Diesel B7 (€/L)",1.853
"28NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.105
"28NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.141
"29NOV22","Essence 95 RON E10 (€/L)",1.775
"29NOV22","Essence 98 RON E5 (€/L)",1.966
"29NOV22","Diesel B7 (€/L)",1.853
"29NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.104
"29NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.139
"30NOV22","Essence 95 RON E10 (€/L)",1.775
"30NOV22","Essence 98 RON E5 (€/L)",1.966
"30NOV22","Diesel B7 (€/L)",1.853
"30NOV22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.067
"30NOV22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.103
"01DEC22","Essence 95 RON E10 (€/L)",1.775
"01DEC22","Essence 98 RON E5 (€/L)",1.966
"01DEC22","Diesel B7 (€/L)",1.853
"01DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.081
"01DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.116
"02DEC22","Essence 95 RON E10 (€/L)",1.775
"02DEC22","Essence 98 RON E5 (€/L)",1.966
"02DEC22","Diesel B7 (€/L)",1.853
"02DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.116
"02DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.151
"03DEC22","Essence 95 RON E10 (€/L)",1.775
"03DEC22","Essence 98 RON E5 (€/L)",1.966
"03DEC22","Diesel B7 (€/L)",1.853
"03DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.138
"03DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.173
"04DEC22","Essence 95 RON E10 (€/L)",1.775
"04DEC22","Essence 98 RON E5 (€/L)",1.966
"04DEC22","Diesel B7 (€/L)",1.853
"04DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.138
"04DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.173
"05DEC22","Essence 95 RON E10 (€/L)",1.775
"05DEC22","Essence 98 RON E5 (€/L)",1.966
"05DEC22","Diesel B7 (€/L)",1.853
"05DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.138
"05DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.173
"06DEC22","Essence 95 RON E10 (€/L)",1.775
"06DEC22","Essence 98 RON E5 (€/L)",1.966
"06DEC22","Diesel B7 (€/L)",1.838
"06DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.092
"06DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.128
"07DEC22","Essence 95 RON E10 (€/L)",1.75
"07DEC22","Essence 98 RON E5 (€/L)",1.952
"07DEC22","Diesel B7 (€/L)",1.838
"07DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.07
"07DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.106
"08DEC22","Essence 95 RON E10 (€/L)",1.75
"08DEC22","Essence 98 RON E5 (€/L)",1.952
"08DEC22","Diesel B7 (€/L)",1.838
"08DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.007
"08DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.043
"09DEC22","Essence 95 RON E10 (€/L)",1.75
"09DEC22","Essence 98 RON E5 (€/L)",1.952
"09DEC22","Diesel B7 (€/L)",1.737
"09DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.983
"09DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.019
"10DEC22","Essence 95 RON E10 (€/L)",1.683
"10DEC22","Essence 98 RON E5 (€/L)",1.872
"10DEC22","Diesel B7 (€/L)",1.737
"10DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.984
"10DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.02
"11DEC22","Essence 95 RON E10 (€/L)",1.683
"11DEC22","Essence 98 RON E5 (€/L)",1.872
"11DEC22","Diesel B7 (€/L)",1.737
"11DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.984
"11DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.02
"12DEC22","Essence 95 RON E10 (€/L)",1.683
"12DEC22","Essence 98 RON E5 (€/L)",1.872
"12DEC22","Diesel B7 (€/L)",1.737
"12DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.984
"12DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.02
"13DEC22","Essence 95 RON E10 (€/L)",1.683
"13DEC22","Essence 98 RON E5 (€/L)",1.872
"13DEC22","Diesel B7 (€/L)",1.756
"13DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1
"13DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.036
"14DEC22","Essence 95 RON E10 (€/L)",1.683
"14DEC22","Essence 98 RON E5 (€/L)",1.872
"14DEC22","Diesel B7 (€/L)",1.756
"14DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.013
"14DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.048
"15DEC22","Essence 95 RON E10 (€/L)",1.683
"15DEC22","Essence 98 RON E5 (€/L)",1.872
"15DEC22","Diesel B7 (€/L)",1.756
"15DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.05
"15DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.085
"16DEC22","Essence 95 RON E10 (€/L)",1.683
"16DEC22","Essence 98 RON E5 (€/L)",1.872
"16DEC22","Diesel B7 (€/L)",1.828
"16DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.083
"16DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.119
"17DEC22","Essence 95 RON E10 (€/L)",1.683
"17DEC22","Essence 98 RON E5 (€/L)",1.872
"17DEC22","Diesel B7 (€/L)",1.828
"17DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.085
"17DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.121
"18DEC22","Essence 95 RON E10 (€/L)",1.683
"18DEC22","Essence 98 RON E5 (€/L)",1.872
"18DEC22","Diesel B7 (€/L)",1.828
"18DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.085
"18DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.121
"19DEC22","Essence 95 RON E10 (€/L)",1.683
"19DEC22","Essence 98 RON E5 (€/L)",1.872
"19DEC22","Diesel B7 (€/L)",1.828
"19DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.085
"19DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.121
"20DEC22","Essence 95 RON E10 (€/L)",1.683
"20DEC22","Essence 98 RON E5 (€/L)",1.872
"20DEC22","Diesel B7 (€/L)",1.794
"20DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.049
"20DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.084
"21DEC22","Essence 95 RON E10 (€/L)",1.683
"21DEC22","Essence 98 RON E5 (€/L)",1.872
"21DEC22","Diesel B7 (€/L)",1.794
"21DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.039
"21DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.075
"22DEC22","Essence 95 RON E10 (€/L)",1.709
"22DEC22","Essence 98 RON E5 (€/L)",1.901
"22DEC22","Diesel B7 (€/L)",1.794
"22DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.026
"22DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.062
"23DEC22","Essence 95 RON E10 (€/L)",1.709
"23DEC22","Essence 98 RON E5 (€/L)",1.901
"23DEC22","Diesel B7 (€/L)",1.794
"23DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.046
"23DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.081
"24DEC22","Essence 95 RON E10 (€/L)",1.709
"24DEC22","Essence 98 RON E5 (€/L)",1.901
"24DEC22","Diesel B7 (€/L)",1.794
"24DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.05
"24DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.085
"25DEC22","Essence 95 RON E10 (€/L)",1.709
"25DEC22","Essence 98 RON E5 (€/L)",1.901
"25DEC22","Diesel B7 (€/L)",1.794
"25DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.05
"25DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.085
"26DEC22","Essence 95 RON E10 (€/L)",1.709
"26DEC22","Essence 98 RON E5 (€/L)",1.901
"26DEC22","Diesel B7 (€/L)",1.794
"26DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.05
"26DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.085
"27DEC22","Essence 95 RON E10 (€/L)",1.709
"27DEC22","Essence 98 RON E5 (€/L)",1.901
"27DEC22","Diesel B7 (€/L)",1.794
"27DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.05
"27DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.085
"28DEC22","Essence 95 RON E10 (€/L)",1.709
"28DEC22","Essence 98 RON E5 (€/L)",1.901
"28DEC22","Diesel B7 (€/L)",1.794
"28DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.062
"28DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.098
"29DEC22","Essence 95 RON E10 (€/L)",1.709
"29DEC22","Essence 98 RON E5 (€/L)",1.901
"29DEC22","Diesel B7 (€/L)",1.794
"29DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.062
"29DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.097
"30DEC22","Essence 95 RON E10 (€/L)",1.762
"30DEC22","Essence 98 RON E5 (€/L)",1.951
"30DEC22","Diesel B7 (€/L)",1.794
"30DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.069
"30DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"31DEC22","Essence 95 RON E10 (€/L)",1.762
"31DEC22","Essence 98 RON E5 (€/L)",1.951
"31DEC22","Diesel B7 (€/L)",1.814
"31DEC22","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.069
"31DEC22","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"01JAN23","Essence 95 RON E10 (€/L)",1.762
"01JAN23","Essence 98 RON E5 (€/L)",1.951
"01JAN23","Diesel B7 (€/L)",1.814
"01JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.069
"01JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"02JAN23","Essence 95 RON E10 (€/L)",1.762
"02JAN23","Essence 98 RON E5 (€/L)",1.951
"02JAN23","Diesel B7 (€/L)",1.814
"02JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.069
"02JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"03JAN23","Essence 95 RON E10 (€/L)",1.761
"03JAN23","Essence 98 RON E5 (€/L)",1.95
"03JAN23","Diesel B7 (€/L)",1.815
"03JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.072
"03JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.107
"04JAN23","Essence 95 RON E10 (€/L)",1.761
"04JAN23","Essence 98 RON E5 (€/L)",1.95
"04JAN23","Diesel B7 (€/L)",1.815
"04JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.07
"04JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.106
"05JAN23","Essence 95 RON E10 (€/L)",1.761
"05JAN23","Essence 98 RON E5 (€/L)",1.95
"05JAN23","Diesel B7 (€/L)",1.815
"05JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.058
"05JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.094
"06JAN23","Essence 95 RON E10 (€/L)",1.761
"06JAN23","Essence 98 RON E5 (€/L)",1.95
"06JAN23","Diesel B7 (€/L)",1.815
"06JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.004
"06JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.039
"07JAN23","Essence 95 RON E10 (€/L)",1.761
"07JAN23","Essence 98 RON E5 (€/L)",1.95
"07JAN23","Diesel B7 (€/L)",1.773
"07JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.018
"07JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.053
"08JAN23","Essence 95 RON E10 (€/L)",1.761
"08JAN23","Essence 98 RON E5 (€/L)",1.95
"08JAN23","Diesel B7 (€/L)",1.773
"08JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.018
"08JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.053
"09JAN23","Essence 95 RON E10 (€/L)",1.761
"09JAN23","Essence 98 RON E5 (€/L)",1.95
"09JAN23","Diesel B7 (€/L)",1.773
"09JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.018
"09JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.053
"10JAN23","Essence 95 RON E10 (€/L)",1.721
"10JAN23","Essence 98 RON E5 (€/L)",1.93
"10JAN23","Diesel B7 (€/L)",1.773
"10JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.047
"10JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.082
"11JAN23","Essence 95 RON E10 (€/L)",1.721
"11JAN23","Essence 98 RON E5 (€/L)",1.93
"11JAN23","Diesel B7 (€/L)",1.773
"11JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.026
"11JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.061
"12JAN23","Essence 95 RON E10 (€/L)",1.739
"12JAN23","Essence 98 RON E5 (€/L)",1.927
"12JAN23","Diesel B7 (€/L)",1.773
"12JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.026
"12JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.062
"13JAN23","Essence 95 RON E10 (€/L)",1.739
"13JAN23","Essence 98 RON E5 (€/L)",1.927
"13JAN23","Diesel B7 (€/L)",1.795
"13JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.044
"13JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.08
"14JAN23","Essence 95 RON E10 (€/L)",1.739
"14JAN23","Essence 98 RON E5 (€/L)",1.927
"14JAN23","Diesel B7 (€/L)",1.795
"14JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.07
"14JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"15JAN23","Essence 95 RON E10 (€/L)",1.739
"15JAN23","Essence 98 RON E5 (€/L)",1.927
"15JAN23","Diesel B7 (€/L)",1.795
"15JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.07
"15JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"16JAN23","Essence 95 RON E10 (€/L)",1.739
"16JAN23","Essence 98 RON E5 (€/L)",1.927
"16JAN23","Diesel B7 (€/L)",1.795
"16JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.07
"16JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.105
"17JAN23","Essence 95 RON E10 (€/L)",1.739
"17JAN23","Essence 98 RON E5 (€/L)",1.927
"17JAN23","Diesel B7 (€/L)",1.795
"17JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.079
"17JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.115
"18JAN23","Essence 95 RON E10 (€/L)",1.778
"18JAN23","Essence 98 RON E5 (€/L)",1.981
"18JAN23","Diesel B7 (€/L)",1.795
"18JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.073
"18JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.108
"19JAN23","Essence 95 RON E10 (€/L)",1.778
"19JAN23","Essence 98 RON E5 (€/L)",1.981
"19JAN23","Diesel B7 (€/L)",1.795
"19JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.063
"19JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.099
"20JAN23","Essence 95 RON E10 (€/L)",1.778
"20JAN23","Essence 98 RON E5 (€/L)",1.981
"20JAN23","Diesel B7 (€/L)",1.832
"20JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.087
"20JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.123
"21JAN23","Essence 95 RON E10 (€/L)",1.778
"21JAN23","Essence 98 RON E5 (€/L)",1.981
"21JAN23","Diesel B7 (€/L)",1.832
"21JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.08
"21JAN23","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.116
"22JAN23","Essence 95 RON E10 (€/L)",1.778
"22JAN23","Essence 98 RON E5 (€/L)",1.981
"22JAN23","Diesel B7 (€/L)",1.832
"22JAN23","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",1.08
